param,material,process,selected_system,selected_color,training_n_groups,training_median_abs_diff_pct,training_q25_abs_diff_pct,training_q75_abs_diff_pct,heldout_n,heldout_median_abs_diff_pct,heldout_mean_abs_diff_pct,heldout_q25_abs_diff_pct,heldout_q75_abs_diff_pct,retrospective_lowest_abs_diff_pct,excess_over_retrospective_lowest_pct,heldout_category
rq,mo58a,wedm_r,int,red,58,18.764769481631298,10.83049432870005,65.4654259701089,1,21.7284855841339,21.7284855841339,21.7284855841339,21.7284855841339,7.67917363436174,14.04931194977216,10--30\%
rq,ti6al4v,b,int,red,58,18.764769481631298,10.83049432870005,64.89175603329085,1,65.900272995568,65.900272995568,65.900272995568,65.900272995568,34.0747175539102,31.825555441657805,>30\%
rq,ti6al4v,gla,int,red,58,19.682788515743,10.866544987873,65.4654259701089,1,10.8506221667787,10.8506221667787,10.8506221667787,10.8506221667787,4.84328779066432,6.007334376114381,10--30\%
rq,ti6al4v,gri,int,red,58,18.764769481631298,10.83049432870005,64.89175603329085,1,67.0374401509307,67.0374401509307,67.0374401509307,67.0374401509307,60.9055335158899,6.1319066350408065,>30\%
rq,ti6al4v,hon,int,red,58,18.764769481631298,10.83049432870005,65.4654259701089,1,20.9386344454526,20.9386344454526,20.9386344454526,20.9386344454526,20.9386344454526,0,10--30\%
rq,ti6al4v,mf,int,red,58,19.682788515743,10.83049432870005,65.4654259701089,1,13.2798350653436,13.2798350653436,13.2798350653436,13.2798350653436,4.42163525100068,8.85819981434292,10--30\%
rq,ti6al4v,mr,int,red,58,18.764769481631298,10.83049432870005,65.4654259701089,1,34.8401862367047,34.8401862367047,34.8401862367047,34.8401862367047,1.98418525316298,32.856000983541726,>30\%
rq,ti6al4v,tf,int,red,58,19.682788515743,10.83049432870005,65.4654259701089,1,15.6523431360541,15.6523431360541,15.6523431360541,15.6523431360541,2.97673659016319,12.67560654589091,10--30\%
rq,ti6al4v,tr,int,red,58,18.764769481631298,10.83049432870005,64.89175603329085,1,70.3185765398349,70.3185765398349,70.3185765398349,70.3185765398349,56.8692163363402,13.449360203494692,>30\%
rq,ti6al4v,wedm_f,int,red,58,19.682788515743,10.83049432870005,65.4654259701089,1,17.3305296087973,17.3305296087973,17.3305296087973,17.3305296087973,7.43154626858765,9.89898334020965,10--30\%
rq,ti6al4v,wedm_r,int,red,58,19.682788515743,10.886672825951651,65.4654259701089,1,1.97281564866619,1.97281564866619,1.97281564866619,1.97281564866619,1.97281564866619,0,<10\%
rsm,14301,b,int,blue,56,99.92085001311736,99.90054321771163,99.956073695599855,1,99.9678200171362,99.9678200171362,99.9678200171362,99.9678200171362,99.9567568489663,0.011063168169911819,>30\%
rsm,14301,gla,int,blue,56,99.92085001311736,99.90054321771163,99.956073695599855,1,99.9595848014915,99.9595848014915,99.9595848014915,99.9595848014915,99.9457034703262,0.013881331165308097,>30\%
rsm,14301,gri,FV,green,58,99.92273472588515,99.89349560424563,99.94667898862008,1,99.906180552509,99.906180552509,99.906180552509,99.906180552509,99.906180552509,0,>30\%
rsm,14301,hon,FV,green,58,99.92273472588515,99.89581226536234,99.94667898862008,1,99.8729507503177,99.8729507503177,99.8729507503177,99.8729507503177,99.8729507503177,0,>30\%
rsm,14301,mf,int,blue,56,99.92085001311736,99.90054321771163,99.956073695599855,1,99.9714492873994,99.9714492873994,99.9714492873994,99.9714492873994,99.9326461128934,0.03880317450600046,>30\%
rsm,14301,mr,int,blue,56,99.92085001311736,99.90054321771163,99.956073695599855,1,99.9817669269661,99.9817669269661,99.9817669269661,99.9817669269661,99.9653787221798,0.016388204786295546,>30\%
rsm,14301,tf,FV,green,58,99.92273472588515,99.89581226536234,99.94667898862008,1,99.8476410894815,99.8476410894815,99.8476410894815,99.8476410894815,99.5654405653468,0.2822005241346943,>30\%
rsm,14301,tr,FV,green,58,99.92273472588515,99.89581226536234,99.94667898862008,1,99.8908394096563,99.8908394096563,99.8908394096563,99.8908394096563,99.7206575803274,0.17018182932889658,>30\%
rsm,14301,wedm_f,FV,green,58,99.92273472588515,99.89581226536234,99.94667898862008,1,99.892869201598,99.892869201598,99.892869201598,99.892869201598,99.892869201598,0,>30\%
rsm,14301,wedm_r,FV,green,58,99.92273472588515,99.89349560424563,99.94667898862008,1,99.9176360657891,99.9176360657891,99.9176360657891,99.9176360657891,99.9172731766875,3.6288910159498755e-4,>30\%
rsm,al7075,b,int,blue,56,99.92085001311736,99.90054321771163,99.956073695599855,1,99.9580469664068,99.9580469664068,99.9580469664068,99.9580469664068,99.9226170758621,0.035429890544691034,>30\%
rsm,al7075,gla,int,blue,56,99.92085001311736,99.90054321771163,99.95670724099288,1,99.934879959343,99.934879959343,99.934879959343,99.934879959343,99.9218354503235,0.013044509019493944,>30\%
rsm,al7075,gri,int,blue,56,99.92085001311736,99.90054321771163,99.95670724099288,1,99.9350228028637,99.9350228028637,99.9350228028637,99.9350228028637,99.9345562658555,4.665370081937681e-4,>30\%
rsm,al7075,hon,FV,green,58,99.92273472588515,99.89349560424563,99.94667898862008,1,99.90320404977,99.90320404977,99.90320404977,99.90320404977,99.8996264358262,0.00357761394378997,>30\%
rsm,al7075,mf,int,blue,56,99.92085001311736,99.90054321771163,99.956073695599855,1,99.9801908887216,99.9801908887216,99.9801908887216,99.9801908887216,99.9719689937204,0.008221895001199186,>30\%
rsm,al7075,mr,FV,green,58,99.9216972790343,99.89349560424563,99.94667898862008,1,99.9327623321919,99.9327623321919,99.9327623321919,99.9327623321919,99.8253018689568,0.10746046323509972,>30\%
rsm,al7075,tf,FV,green,58,99.92273472588515,99.89349560424563,99.94667898862008,1,99.9146756132101,99.9146756132101,99.9146756132101,99.9146756132101,99.7563401097316,0.15833550347849723,>30\%
rsm,al7075,tr,FV,green,58,99.92273472588515,99.89581226536234,99.94667898862008,1,99.8786724192952,99.8786724192952,99.8786724192952,99.8786724192952,99.6535967811006,0.2250756381945962,>30\%
rsm,al7075,wedm_f,FV,green,58,99.92273472588515,99.89581226536234,99.94667898862008,1,99.8709554947058,99.8709554947058,99.8709554947058,99.8709554947058,99.8709554947058,0,>30\%
rsm,al7075,wedm_r,FV,red,58,99.9224973464116,99.8946608230363,99.94296248896325,1,99.9239198902471,99.9239198902471,99.9239198902471,99.9239198902471,99.9128941098258,0.011025780421306308,>30\%
rsm,c45,b,int,blue,56,99.92085001311736,99.90054321771163,99.956073695599855,2,99.96959711708,99.96959711708,99.96957713696115,99.96961709719885,99.9488954965066,0.020701620573404966,>30\%
rsm,c45,gla,int,blue,56,99.92085001311736,99.90054321771163,99.95670724099288,1,99.9506711157533,99.9506711157533,99.9506711157533,99.9506711157533,99.9395869828684,0.011084132884889186,>30\%
rsm,c45,gri,FV,green,58,99.92273472588515,99.89349560424563,99.94667898862008,1,99.9209345381425,99.9209345381425,99.9209345381425,99.9209345381425,99.9197887198128,0.0011458183297037294,>30\%
rsm,c45,hon,FV,green,58,99.92273472588515,99.89581226536234,99.94667898862008,1,99.8753091187858,99.8753091187858,99.8753091187858,99.8753091187858,99.8726932713513,0.002615847434498164,>30\%
rsm,c45,mf,int,blue,56,99.92085001311736,99.90054321771163,99.95670724099288,1,99.9444371037395,99.9444371037395,99.9444371037395,99.9444371037395,99.9217184628222,0.022718640917304356,>30\%
rsm,c45,mr,int,blue,56,99.92085001311736,99.90054321771163,99.956073695599855,1,99.9621979946207,99.9621979946207,99.9621979946207,99.9621979946207,99.9190425730083,0.04315542161239705,>30\%
rsm,c45,tf,int,blue,56,99.92085001311736,99.90054321771163,99.95670724099288,1,99.9464977553878,99.9464977553878,99.9464977553878,99.9464977553878,99.880542413956,0.0659553414318026,>30\%
rsm,c45,tr,int,blue,56,99.92085001311736,99.90054321771163,99.95652027073783,1,99.9562606658549,99.9562606658549,99.9562606658549,99.9562606658549,99.8503331385599,0.10592752729499466,>30\%
rsm,c45,wedm_f,FV,green,58,99.92273472588515,99.89581226536234,99.94667898862008,1,99.8890383446794,99.8890383446794,99.8890383446794,99.8890383446794,99.8870039588964,0.0020343857830056322,>30\%
rsm,c45,wedm_r,FV,green,58,99.92273472588515,99.89349560424563,99.94667898862008,1,99.9177690971289,99.9177690971289,99.9177690971289,99.9177690971289,99.8541033230003,0.06366577412859442,>30\%
rsm,ellor,gla,FV,green,58,99.92273472588515,99.89349560424563,99.94667898862008,1,99.9031291470249,99.9031291470249,99.9031291470249,99.9031291470249,99.86651704158,0.036612105444902454,>30\%
rsm,ellor,gri,FV,green,58,99.92273472588515,99.89581226536234,99.94667898862008,1,99.7884791320496,99.7884791320496,99.7884791320496,99.7884791320496,99.691585640179,0.09689349187060259,>30\%
rsm,ellor,hon,int,blue,56,99.92085001311736,99.90054321771163,99.95670724099288,1,99.9520804555361,99.9520804555361,99.9520804555361,99.9520804555361,99.9329947748946,0.01908568064150984,>30\%
rsm,ellor,mf,int,blue,56,99.92085001311736,99.90054321771163,99.956073695599855,1,99.9758791222786,99.9758791222786,99.9758791222786,99.9758791222786,99.9245130249369,0.051366097341698946,>30\%
rsm,ellor,mr,int,blue,56,99.92085001311736,99.90054321771163,99.956073695599855,1,99.9604000938552,99.9604000938552,99.9604000938552,99.9604000938552,99.9273134917115,0.03308660214369752,>30\%
rsm,ellor,tf,int,blue,56,99.92085001311736,99.90054321771163,99.95670724099288,1,99.9427505469293,99.9427505469293,99.9427505469293,99.9427505469293,99.9292172535866,0.0135332933427037,>30\%
rsm,ellor,tr,FV,green,58,99.92273472588515,99.89349560424563,99.94667898862008,1,99.916346441673,99.916346441673,99.916346441673,99.916346441673,99.9029506385407,0.013395803132297601,>30\%
rsm,ellor,wedm_f,FV,green,58,99.9216972790343,99.89349560424563,99.94667898862008,1,99.9247588878783,99.9247588878783,99.9247588878783,99.9247588878783,99.9247588878783,0,>30\%
rsm,ellor,wedm_r,FV,green,58,99.9216972790343,99.89349560424563,99.94667898862008,1,99.9312780110133,99.9312780110133,99.9312780110133,99.9312780110133,99.8725395416752,0.05873846933810967,>30\%
