param,material,process,best_system,best_color,best_n,best_median_abs_diff_pct,best_q25_abs_diff_pct,best_q75_abs_diff_pct,best_mean_abs_diff_pct,best_category
rsk,14301,hon,fusion,blue,1,58.3617119301886,58.3617119301886,58.3617119301886,58.3617119301886,>30\%
rsk,14301,mf,int,blue,1,84.150280620914,84.150280620914,84.150280620914,84.150280620914,>30\%
rsk,14301,mr,int,red,1,76.9507925988534,76.9507925988534,76.9507925988534,76.9507925988534,>30\%
rsk,14301,tf,int,red,1,120.058435738645,120.058435738645,120.058435738645,120.058435738645,>100\%
rsk,14301,tr,FV,blue,1,112.735445483289,112.735445483289,112.735445483289,112.735445483289,>100\%
rsk,14301,wedm_f,int,white,1,33.0721617228287,33.0721617228287,33.0721617228287,33.0721617228287,>30\%
rsk,14301,wedm_r,int,green,1,7.11735516607507,7.11735516607507,7.11735516607507,7.11735516607507,<10\%
rsk,al7075,b,FV,red,1,71.1607292221214,71.1607292221214,71.1607292221214,71.1607292221214,>30\%
rsk,al7075,gla,FV,green,1,12.860380654945,12.860380654945,12.860380654945,12.860380654945,10--30\%
rsk,al7075,gri,int,white,1,23.9839933071305,23.9839933071305,23.9839933071305,23.9839933071305,10--30\%
rsk,al7075,hon,fusion,blue,1,70.386661330224,70.386661330224,70.386661330224,70.386661330224,>30\%
rsk,al7075,mf,FV,red,1,89.5837787194948,89.5837787194948,89.5837787194948,89.5837787194948,>30\%
rsk,al7075,mr,conf,green,1,17.9197050450632,17.9197050450632,17.9197050450632,17.9197050450632,10--30\%
rsk,al7075,tf,int,red,1,98.2477782468828,98.2477782468828,98.2477782468828,98.2477782468828,>30\%
rsk,al7075,tr,int,green,1,8.22335256586723,8.22335256586723,8.22335256586723,8.22335256586723,<10\%
rsk,al7075,wedm_f,int,white,1,11.026974303433,11.026974303433,11.026974303433,11.026974303433,10--30\%
rsk,al7075,wedm_r,FV,red,1,2.45262989162536,2.45262989162536,2.45262989162536,2.45262989162536,<10\%
rsk,c45,b,FV,blue,1,18.98188406112,18.98188406112,18.98188406112,18.98188406112,10--30\%
rsk,c45,gla,FV,green,1,0.641594217700701,0.641594217700701,0.641594217700701,0.641594217700701,<10\%
rsk,c45,gri,int,white,1,3.02935517527344,3.02935517527344,3.02935517527344,3.02935517527344,<10\%
rsk,c45,hon,fusion,blue,1,17.2398018235869,17.2398018235869,17.2398018235869,17.2398018235869,10--30\%
rsk,c45,mf,fusion,red,1,21.9726407463563,21.9726407463563,21.9726407463563,21.9726407463563,10--30\%
rsk,c45,mr,conf,green,1,15.6846749262007,15.6846749262007,15.6846749262007,15.6846749262007,10--30\%
rsk,c45,tf,fusion,red,1,48.0421815154042,48.0421815154042,48.0421815154042,48.0421815154042,>30\%
